ChemicalName,DiseaseName,output,dataset,chemicalname
Cocaine,Lung Neoplasms,4.862546920776367,test,cocaine
Valproic Acid,Lung Neoplasms,4.852423191070557,test,valproic acid
Phenytoin,Melanoma,4.824765205383301,test,phenytoin
Methotrexate,Stomach Neoplasms,4.755995750427246,train,methotrexate
Methotrexate,Melanoma,4.752745151519775,test,methotrexate
Phenytoin,Lung Neoplasms,4.739763259887695,test,phenytoin
Indomethacin,Lung Neoplasms,4.71930456161499,train,indomethacin
Methotrexate,Lung Neoplasms,4.718215465545654,train,methotrexate
Doxorubicin,Lung Neoplasms,4.64821195602417,train,doxorubicin
Methotrexate,Urinary Bladder Neoplasms,4.6468658447265625,train,methotrexate
Carbamazepine,Lung Neoplasms,4.6378254890441895,test,carbamazepine
Cocaine,Melanoma,4.631161689758301,test,cocaine
Doxorubicin,Melanoma,4.627826690673828,train,doxorubicin
Aspirin,Lung Neoplasms,4.616188049316406,test,aspirin
Methadone,Lung Neoplasms,4.598759651184082,train,methadone
Methotrexate,Colonic Neoplasms,4.5591816902160645,train,methotrexate
Cocaine,Urinary Bladder Neoplasms,4.55648136138916,test,cocaine
Doxorubicin,Colonic Neoplasms,4.519357681274414,val,doxorubicin
Indomethacin,Colonic Neoplasms,4.51789140701294,train,indomethacin
Quercetin,Lung Neoplasms,4.497936725616455,train,quercetin
Warfarin,Lung Neoplasms,4.493259906768799,test,warfarin
Vincristine,Lung Neoplasms,4.482635021209717,train,vincristine
Amiodarone,Lung Neoplasms,4.477821826934815,test,amiodarone
Aspirin,Stomach Neoplasms,4.476002216339111,train,aspirin
Phenytoin,Urinary Bladder Neoplasms,4.474680423736572,test,phenytoin
Phenytoin,Colonic Neoplasms,4.455068588256836,test,phenytoin
Vincristine,Melanoma,4.440020561218262,test,vincristine
Dexamethasone,Lung Neoplasms,4.438353061676025,train,dexamethasone
Amphetamine,Lung Neoplasms,4.432157039642334,test,amphetamine
Acetylcysteine,Lung Neoplasms,4.420768737792969,test,acetylcysteine
Valproic Acid,Melanoma,4.403781890869141,test,valproic acid
Lidocaine,Melanoma,4.399511814117432,test,lidocaine
Cytarabine,Lung Neoplasms,4.398142814636231,test,cytarabine
Pentazocine,Lung Neoplasms,4.392062664031982,test,pentazocine
Carboplatin,Lung Neoplasms,4.385076999664307,train,carboplatin
Propylthiouracil,Lung Neoplasms,4.377718448638916,train,propylthiouracil
Ibuprofen,Lung Neoplasms,4.367005825042725,test,ibuprofen
Etoposide,Lung Neoplasms,4.358861923217773,val,etoposide
Doxorubicin,Urinary Bladder Neoplasms,4.350191593170166,train,doxorubicin
Minocycline,Lung Neoplasms,4.343515396118164,test,minocycline
Dapsone,Lung Neoplasms,4.342381477355957,test,dapsone
Aspirin,Melanoma,4.339154243469238,test,aspirin
Indomethacin,Melanoma,4.333655834197998,test,indomethacin
Thalidomide,Melanoma,4.330626487731934,val,thalidomide
Indomethacin,Urinary Bladder Neoplasms,4.330422878265381,train,indomethacin
Fluorouracil,Lung Neoplasms,4.326455116271973,train,fluorouracil
Methamphetamine,Lung Neoplasms,4.323989391326904,test,methamphetamine
Cocaine,Stomach Neoplasms,4.323531150817871,test,cocaine
Phenytoin,Stomach Neoplasms,4.322916030883789,test,phenytoin
Streptozocin,Lung Neoplasms,4.321498870849609,test,streptozocin
bisphenol A,Lung Neoplasms,4.3162336349487305,train,bisphenol a
Valproic Acid,Colonic Neoplasms,4.3054633140563965,test,valproic acid
Carmustine,Lung Neoplasms,4.293410301208496,train,carmustine
Estradiol,Lung Neoplasms,4.290800094604492,test,estradiol
Warfarin,Urinary Bladder Neoplasms,4.287087917327881,train,warfarin
Carmustine,Melanoma,4.286922454833984,train,carmustine
Amphotericin B,Melanoma,4.283571243286133,test,amphotericin b
Doxorubicin,Stomach Neoplasms,4.281869411468506,train,doxorubicin
Cytarabine,Melanoma,4.280035495758057,test,cytarabine
Metoclopramide,Lung Neoplasms,4.277635097503662,test,metoclopramide
Estrogens,Lung Neoplasms,4.275338172912598,test,estrogens
Penicillamine,Lung Neoplasms,4.273817539215088,test,penicillamine
Azathioprine,Lung Neoplasms,4.270748138427734,train,azathioprine
Docetaxel,Lung Neoplasms,4.270442008972168,train,docetaxel
Ribavirin,Lung Neoplasms,4.268136024475098,test,ribavirin
Succinylcholine,Lung Neoplasms,4.267975330352783,test,succinylcholine
Warfarin,Melanoma,4.26486349105835,test,warfarin
Thalidomide,Lung Neoplasms,4.256298065185547,val,thalidomide
Cocaine,"Carcinoma, Hepatocellular",4.250452518463135,test,cocaine
