ChemicalName,DiseaseName,output,dataset,chemicalname
Cocaine,Urinary Bladder Neoplasms,5.659205913543701,test,cocaine
Methotrexate,Urinary Bladder Neoplasms,5.651416301727295,train,methotrexate
Dexamethasone,Colonic Neoplasms,5.637332439422607,train,dexamethasone
Methotrexate,Breast Neoplasms,5.631844997406006,train,methotrexate
Cocaine,Breast Neoplasms,5.616842746734619,test,cocaine
Methotrexate,Lung Neoplasms,5.567854881286621,train,methotrexate
Sulfasalazine,Lung Neoplasms,5.555551052093506,test,sulfasalazine
Dexamethasone,Lung Neoplasms,5.553887367248535,train,dexamethasone
Metronidazole,Lung Neoplasms,5.514349460601807,test,metronidazole
Cyclophosphamide,Lung Neoplasms,5.468856334686279,val,cyclophosphamide
Aspirin,Lung Neoplasms,5.438221454620361,test,aspirin
Phenytoin,Lung Neoplasms,5.396353244781494,test,phenytoin
Acetaminophen,Lung Neoplasms,5.386150360107422,test,acetaminophen
Methotrexate,Melanoma,5.372472286224365,test,methotrexate
Thalidomide,Breast Neoplasms,5.329476833343506,test,thalidomide
Metronidazole,Urinary Bladder Neoplasms,5.311604976654053,test,metronidazole
Prednisone,Colonic Neoplasms,5.302324771881104,test,prednisone
Phenytoin,Breast Neoplasms,5.299645900726318,test,phenytoin
Aspirin,Breast Neoplasms,5.285789012908936,train,aspirin
Dexamethasone,Melanoma,5.282021045684815,test,dexamethasone
Cocaine,Melanoma,5.248837947845459,test,cocaine
Prednisolone,Urinary Bladder Neoplasms,5.212703227996826,val,prednisolone
Doxorubicin,Urinary Bladder Neoplasms,5.208151340484619,train,doxorubicin
Cyclophosphamide,Breast Neoplasms,5.199066162109375,train,cyclophosphamide
Indomethacin,Breast Neoplasms,5.198556423187256,val,indomethacin
Methotrexate,Colonic Neoplasms,5.191769599914551,train,methotrexate
Ascorbic Acid,Lung Neoplasms,5.188558101654053,val,ascorbic acid
Ribavirin,Breast Neoplasms,5.170551776885986,test,ribavirin
Doxorubicin,Melanoma,5.164124965667725,train,doxorubicin
Cytarabine,Breast Neoplasms,5.161264896392822,train,cytarabine
Phenobarbital,Lung Neoplasms,5.158338069915772,train,phenobarbital
Valproic Acid,Breast Neoplasms,5.157847881317139,test,valproic acid
Methylprednisolone,Lung Neoplasms,5.145816326141357,test,methylprednisolone
Resveratrol,Pancreatic Neoplasms,5.131382465362549,train,resveratrol
Cytarabine,Lung Neoplasms,5.118180751800537,test,cytarabine
Carbamazepine,Breast Neoplasms,5.113976955413818,train,carbamazepine
Gemcitabine,Breast Neoplasms,5.110881328582764,train,gemcitabine
Cytarabine,Melanoma,5.108283996582031,test,cytarabine
