disease,drugs,drugnumber,source,each_singledrug_diease_pair_in_d_g
Chagas Disease,"('benzonidazole', 'Clomipramine')",2,SynDrugComb,FALSE
Adenocarcinoma,"('regorafenib', 'trametinib')",2,SynDrugComb,FALSE
Small Cell Lung Carcinoma,"('Etoposide', 'Platinum')",2,SynDrugComb,FALSE
Hypertension,"('Verapamil', 'Irbesartan')",2,SynDrugComb,TRUE
Breast Neoplasms,"('Doxorubicin', 'Mitomycin')",2,SynDrugComb,TRUE
Tuberculosis,"('Rifampin', 'Isoniazid')",2,SynDrugComb,TRUE
"Ischemic Attack, Transient","('Clopidogrel', 'Pantoprazole')",2,SynDrugComb,FALSE
"Leukemia, Myeloid, Acute","('Azacitidine', 'Panobinostat')",2,SynDrugComb,FALSE
Hepatitis C,"('Sofosbuvir', 'ledipasvir')",2,SynDrugComb,TRUE
Triple Negative Breast Neoplasms,"('Doxorubicin', 'Mitomycin')",2,SynDrugComb,FALSE
Leukemia,"('Azacitidine', 'Panobinostat')",2,SynDrugComb,FALSE
Lymphoma,"('ricolinostat', 'ibrutinib')",2,SynDrugComb,FALSE
Tuberculosis,"('acetamide', 'Rifampin')",2,SynDrugComb,FALSE
Melanoma,"('Celecoxib', 'Dacarbazine')",2,SynDrugComb,FALSE
"Carcinoma, Non-Small-Cell Lung","('Gemcitabine', 'Cisplatin')",2,SynDrugComb,TRUE
Breast Neoplasms,"('Doxorubicin', 'Curcumin')",2,SynDrugComb,TRUE
Dementia,"('Memantine', 'Donepezil')",2,SynDrugComb,TRUE
Inflammatory Bowel Diseases,"('Aspirin', 'Berberine')",2,SynDrugComb,FALSE
Gestational Trophoblastic Disease,"('Paclitaxel', 'Carboplatin')",2,SynDrugComb,FALSE
Hypertension,"('Atorvastatin', 'olmesartan')",2,SynDrugComb,TRUE
Malaria,"('Artemether', 'Lumefantrine')",2,SynDrugComb,TRUE
Candida albicans,"('allicin', 'Fluconazole')",2,SynDrugComb,FALSE
Candida albicans,"('Amiodarone', 'Micafungin')",2,SynDrugComb,FALSE
